,budget,genres,id,keywords,original_title,production_companies,release_date,revenue,runtime,title,vote_average,vote_count,profit,month,movie_id,cast
10,270000000,"[12, 14, 28, 878]",1452,"[83, 849, 8872, 9663, 9715, 9717, 163420, 163455, 179102, 202526]",Superman Returns,"[429, 923, 6194, 9168]",2006-06-28,391081192,154.0,Superman Returns,5.4,1400,121081192,6,1452,"[17271, 1979, 7517, 11006, 7489, 8924, 53492, 2639, 3084, 53493, 53494, 41318, 1224391, 1272955, 193763, 243805, 1252837, 971458]"
11,200000000,"[12, 28, 53, 80]",10764,"[627, 1568, 4289, 156095]",Quantum of Solace,[7576],2008-10-30,586090727,106.0,Quantum of Solace,6.1,2965,386090727,10,10764,"[8784, 18182, 8789, 5309, 3753, 59620, 2954, 35029, 2244, 62892, 139549, 11276, 76857, 574355, 52888, 34408, 136290, 20289, 566331, 127000, 574361, 205222, 62961, 193339, 424182, 574364, 574365, 574367, 149307, 69865, 1234388, 1529894]"
12,200000000,"[12, 14, 28]",58,"[616, 663, 910, 911, 1299, 1316, 1317, 1319, 1461, 3799, 5600, 12988, 157186, 179430]",Pirates of the Caribbean: Dead Man's Chest,"[2, 130, 19936]",2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,865659812,6,58,"[85, 114, 116, 1640, 2440, 1709, 2449, 378, 1710, 1711, 2441, 2038, 1715, 4030, 939, 2451, 118, 191751, 1123, 11283, 22075, 64102, 1229277, 140452, 10960, 25441, 2450, 2452, 82636, 1254626, 429401, 1056117, 21700]"
13,255000000,"[28, 12, 37]",57201,"[1556, 2673, 5385, 5901, 9104, 9503, 10685, 10909, 13008, 178867, 179419, 222787, 228232]",The Lone Ranger,"[2, 130, 2691, 37380, 37381, 37382]",2013-07-03,89289910,149.0,The Lone Ranger,5.9,2311,-165710090,7,57201,"[85, 53807, 886, 1283, 18473, 207, 47720, 12834, 22063, 583040, 71467, 15374, 45051, 62752, 6951, 84225, 126829, 1736738, 1094319, 1429470, 1382010, 1184011, 76857, 92949, 1471922, 1240490, 208061, 21723, 37027, 17401, 102567, 56267, 22250, 59847, 128560, 1452636, 134171, 1112414, 51754, 114977, 1760466, 1760467, 1760468, 1760469, 1760470, 1459004, 1760471, 1760472, 1391129, 1333907, 967071, 1178981, 104915, 1105706, 307885, 569548, 1759932, 1760474, 1760475, 1760476]"
14,225000000,"[28, 12, 14, 878]",49521,"[83, 849, 9715, 9717, 10761, 14909, 161184, 163455, 229266]",Man of Steel,"[923, 6194, 9993, 9996, 78685]",2013-06-12,662845518,143.0,Man of Steel,6.5,6359,437845518,6,49521,"[73968, 9273, 335, 1269, 2882, 934, 2975, 43202, 22227, 213049, 77223, 8786, 31028, 236302, 50217, 17832, 12371, 37698, 2320, 11831, 1272968, 1272969, 1272970, 4095, 27138, 172809, 59312, 1272971, 1025970, 9464, 1371141, 1235591, 1615574]"
15,225000000,"[12, 10751, 14]",2454,"[818, 855, 1155, 2043, 3714, 4391, 4820, 5144, 6150, 6464, 166930, 170362]",The Chronicles of Narnia: Prince Caspian,"[5888, 10221, 11345, 11440, 11441, 11442, 76043]",2008-05-15,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,194651413,5,2454,"[25130, 5528, 5529, 5527, 5526, 2166, 25132, 22970, 11184, 25133, 17839, 7370, 24496, 12044, 25134, 25135, 3896, 25136, 3063, 1926, 107943]"
16,220000000,"[878, 28, 12]",24428,"[242, 5539, 8828, 9715, 9717, 14909, 155030, 179430, 179431, 180547]",The Avengers,"[4, 420]",2012-04-25,1519557910,143.0,The Avengers,7.4,11776,1299557910,4,24428,"[3223, 16828, 103, 74568, 1245, 17604, 91606, 9048, 71189, 1640, 2231, 12052, 6162, 14464, 101522, 6280, 7624, 188758, 168246, 34486, 5048, 81959, 1033652, 79079, 51303, 43553, 1018947, 1214673, 19151, 1224022, 150194, 60120, 1479945, 1479946, 86157, 60878, 66525, 87128, 1479957, 1479959, 1479961, 1479962, 2256, 1479967, 1480042, 1480043, 1480044, 1203089, 98626, 1480045, 156342, 1480047, 1234512, 1263294, 1480048, 1153698, 1480049, 1191953, 1480051, 1480053, 1480055, 1403346, 1480056, 1466605, 1480057, 1480058, 19137, 1354406, 1480060, 1480065, 1480066, 1480067, 1480085, 1480087, 1480091, 1480096, 1480097, 1480124, 1480128, 1480130, 1480132, 1001496, 1480144, 1480146, 1480148, 1480150, 1480152, 1480153, 1365516, 1480198, 1480199, 1480200, 1480202, 1371850, 1480204, 1480208, 1454362, 1480209, 1480210, 1480211, 1480212, 1480213, 6037, 1480218, 1480219, 1480220, 1480221, 1480222, 1480223, 1480224, 1480226, 1673576, 1636801, 1343164, 1376001]"
17,380000000,"[12, 28, 14]",1865,"[658, 1316, 1860, 1938, 2569, 3180, 3625, 3799, 4235, 5938, 12988, 13065, 14643, 157186, 179430, 209714]",Pirates of the Caribbean: On Stranger Tides,"[2, 130, 20478]",2011-05-14,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,665713802,5,1865,"[85, 955, 6972, 2449, 118, 237455, 469759, 1115, 4031, 1712, 59129, 10983, 1430, 55901, 5309, 199975, 88392, 8399, 77955, 83814, 75076, 51300, 58758, 229634, 27397, 11279, 110075, 1321379, 1310385, 1797040, 214581, 1331023, 1770474, 1269611, 1770475]"
18,225000000,"[28, 35, 878]",41154,"[4379, 5455, 9951, 174915, 185668, 208756]",Men in Black 3,"[56, 5627, 6736, 9169, 11084]",2012-05-23,624026776,106.0,Men in Black 3,6.2,4160,399026776,5,41154,"[2888, 2176, 16851, 72873, 7056, 55936, 151246, 59860, 19278, 87070, 33533, 91387, 1068400, 450, 1506488, 21200, 1671443, 1152008]"
19,250000000,"[28, 12, 14]",122917,"[417, 603, 604, 606, 609, 611, 12554, 14643, 167982, 188270, 234213]",The Hobbit: The Battle of the Five Armies,"[11, 12, 174, 7413, 8411]",2014-12-10,956019788,144.0,The Hobbit: The Battle of the Five Armies,7.1,4760,706019788,12,122917,"[7060, 1327, 30315, 25136, 95047, 67123, 34715, 1193834, 152566, 207558, 534336, 1193832, 173451, 81877, 1193833, 114, 19034, 72095, 112, 1331, 113, 65, 52398, 80112, 114019, 11275, 126667, 60349, 1359824, 1359823, 41782, 205406, 9188, 71580, 986734, 15092, 240024, 1440652, 127453, 1484140, 1086829, 1356758]"
20,215000000,"[28, 12, 14]",1930,"[1872, 7002, 8803, 8828, 156855, 158124, 158456, 161184, 163455, 163561, 171556, 179431]",The Amazing Spider-Man,"[5, 326, 7505]",2012-06-27,752215857,136.0,The Amazing Spider-Man,6.5,6586,537215857,6,1930,"[37625, 54693, 7026, 5724, 55152, 76793, 8349, 35, 558928, 231547, 6368, 1111328, 59261, 205976, 2878, 7624, 9289, 20582, 156989, 1424715, 61263, 930322, 1315833, 91658, 157146, 96753, 1338023, 1232365, 1338034, 1338061, 1338215, 15318, 66668, 932116, 979075, 58510, 118494, 1183671, 1657618, 1983, 1477809, 1236007, 68430, 14050, 1219576, 63470, 1187106, 1059597, 1657635, 1355105, 63280, 984614, 1657642, 167263, 1657643, 1499460, 1265835]"
21,200000000,"[28, 12]",20662,"[4147, 4393, 10466, 11525, 18101, 41406, 161257, 186686]",Robin Hood,"[23, 33, 1645, 7295]",2010-05-12,310669540,140.0,Robin Hood,6.2,1398,110669540,5,20662,"[934, 112, 2201, 227, 2983, 25072, 6413, 20300, 13633, 15576, 79072, 35091, 147472, 80149, 121529, 17499, 47643, 43131, 34515, 556444, 16358, 185460, 75076, 81125, 226083, 1151410, 1796466, 24709, 1182597, 114019, 146457, 58787, 202032, 3551]"
22,250000000,"[12, 14]",57158,"[603, 604, 606, 611, 12554, 177912, 234213]",The Hobbit: The Desolation of Smaug,"[11, 12, 174, 8411]",2013-12-11,958400000,161.0,The Hobbit: The Desolation of Smaug,7.6,4524,708400000,12,57158,"[7060, 1327, 30315, 25136, 95047, 67123, 34715, 1193834, 152566, 207558, 71580, 72095, 114019, 19034, 114, 52398, 41782, 11275, 126667, 80112, 236696, 1193832, 112, 58769, 173451, 15092, 1359823, 1359824, 81877, 534336, 1193833, 206532]"
23,180000000,"[12, 14]",2268,"[392, 1461, 1706, 2596, 6464, 6678, 13014, 18165, 223438]",The Golden Compass,"[12, 289, 1473, 1938]",2007-12-04,372234864,113.0,The Golden Compass,5.8,1303,192234864,12,2268,"[45589, 2227, 8784, 16431, 10912, 1281, 1327, 45585, 6972, 5470, 8534, 20070, 14011, 113, 16358, 45587, 45586, 937, 45588, 142389, 1815740, 28959, 1411061, 56103, 63608, 1075144, 1563381, 1132749, 1105459]"
24,207000000,"[12, 18, 28]",254,"[774, 776, 837, 886, 887, 911, 1299, 1551, 3799, 12616]",King Kong,"[11, 33, 68, 69]",2005-12-14,550000000,187.0,King Kong,6.6,2337,343000000,12,254,"[3489, 70851, 3490, 3491, 3492, 1333, 3493, 478, 3494, 3495, 3496, 3497, 1166385, 3541, 81877, 1047942, 107754, 214979, 199432, 181186, 1504590, 1205488, 75892, 173451, 1097645, 1169229, 1064428, 173539, 1504591, 75950, 73889, 173569, 1670104]"
25,200000000,"[18, 10749, 53]",597,"[2580, 2984, 3799, 4210, 4388, 4953, 6917, 7579, 9673, 10617, 10703, 14514, 156395, 165086, 182615, 182621, 182625, 209714, 210184]",Titanic,"[4, 306, 574]",1997-11-18,1845034188,194.0,Titanic,7.5,7562,1645034188,11,597,"[204, 6193, 3713, 1954, 8534, 8535, 2053, 1369, 2076, 8536, 8537, 2179, 8538, 8539, 8540, 8541, 8543, 8544, 8545, 3071, 65524, 8547, 8548, 8549, 8550, 8551, 8552, 8553, 1080265, 93215, 1054325, 41266, 26863, 1256066, 63141, 55957, 1697673, 3981, 230727, 1741441, 1741443, 126363, 29796, 1359176, 1741450, 1597443, 40740, 1451680, 1741459, 142325, 178557, 172280, 1741663, 1741664, 1227544, 131833, 1106167, 97436, 1741665, 1398372, 1741666, 40695, 158662, 1741667, 1228858, 1741669, 1520024, 592618, 1237642, 1693876, 930944, 1330728, 1338541, 157989, 157989, 1741673, 1741675, 72742, 1741678, 944614, 42198, 1402008, 1741688, 1741689, 30148, 1741690, 1741691, 42290, 4031, 1233436, 1741692, 1741693, 1741694, 29214, 1741697, 1367898, 1028668, 1741700, 1741701, 42286, 1741707, 1741709, 146182, 2134, 2710, 1639429, 1741717, 1741718, 75804, 1741719, 1741720, 1741721, 1337466, 1741722, 1741723, 1741724, 1741725, 1741726, 2472, 1741727, 1741728, 1029818, 63423, 1741729, 1190237, 1730068, 1741737, 1275173, 1741739, 93214, 11670, 1741740, 1741741, 1741742, 1741743, 1741744]"
26,250000000,"[12, 28, 878]",271110,"[393, 6091, 8828, 9663, 9715, 9717, 156395, 179430, 179431, 180547, 209714]",Captain America: Civil War,"[264, 420, 3036, 84424, 84425]",2016-04-27,1153304495,147.0,Captain America: Civil War,7.1,7241,903304495,4,271110,"[16828, 3223, 1245, 60898, 53650, 1896, 17604, 172069, 6162, 550843, 22226, 84247, 1136406, 81685, 227, 3872, 21134, 62105, 7060, 3141, 51878, 15250, 116969, 139900, 1981, 161932, 7624, 19272, 150194, 1502949, 1779511, 1779512, 1779513, 1582803, 1566267, 1779514, 1483700, 25135, 1327810, 1779516, 1480044, 1779517, 1003792, 1323073, 1779519, 114634, 1779520, 1779521, 1779522, 209125, 1779523, 1779524, 1779525, 1779526, 1779527, 1779528, 1779529, 1779530, 1779531, 1779532, 1779533, 1779534, 1779535, 1779536, 1779537, 1779538, 1779539, 1779540, 1779541, 1779542, 1779543, 1779544, 1779545, 1779546, 1779547, 1779548, 1779549, 1779550, 1779551, 1779552, 1779554, 1779557, 1779562, 1779563, 570756, 1779564, 1779565, 1779567, 1375186, 1779569, 1569801, 1779570, 232256, 78430, 1731337, 1265796, 1779572, 91042, 1738113, 592495]"
27,209000000,"[53, 28, 12, 878]",44833,"[1721, 4410, 11265, 12354, 13042, 14760, 14946, 160855, 160856, 160860, 160861, 160865, 160866, 160868, 160873, 160875, 160876, 160879, 160880, 160881, 160884, 160885, 160887, 179430, 227328, 227329]",Battleship,"[33, 2598, 13778, 20153]",2012-04-11,303025485,131.0,Battleship,5.5,2114,94025485,4,44833,"[60900, 28846, 131519, 131520, 13275, 3896, 1052162, 184581, 88124, 205406, 98953, 60875, 36602, 23429, 987677, 1331643, 55205, 1044953, 565508, 1337274, 1216133, 68180, 17838, 12688, 3218, 1326245, 210542, 66678, 928532, 1044956, 29054, 1367223, 937232, 1569054, 1049830, 1504579, 1504580, 1504581, 1504582, 1504583, 84756, 204235, 1685026, 1685027, 989607, 86536]"
28,150000000,"[28, 12, 878, 53]",135397,"[1299, 1718, 1720, 1766, 2041, 9663, 9937, 10617, 10685, 12616, 155582, 158130, 158340, 178010, 209714, 223059]",Jurassic World,"[13, 56, 923, 3341, 6452]",2015-06-09,1513528810,124.0,Jurassic World,6.5,8662,1363528810,6,135397,"[73457, 18997, 76793, 7132, 1108907, 17181, 543505, 78423, 14592, 20750, 591834, 116278, 150587, 170635, 59297, 11669, 97446, 1809787, 1550012, 930707, 568045, 866906, 979412, 1391129, 1522360, 1682513, 1682512, 1637724]"
29,200000000,"[28, 12, 53]",37724,"[470, 4289, 9740, 15127, 15478, 156095, 156345, 156395, 159932, 163841, 185071, 185077]",Skyfall,[5],2012-10-25,1108561013,143.0,Skyfall,6.9,7604,908561013,10,37724,"[8784, 5309, 3810, 5469, 2038, 1030261, 3926, 17064, 139549, 11045, 15737, 118617, 206273, 100242, 122556, 1024234, 1224993, 92429, 47944, 1399567, 1168075, 1062405, 1333452, 1574323]"
30,200000000,"[28, 12, 14]",558,"[851, 2038, 5983, 8828, 9663, 9715, 13005, 14760, 14991, 34079, 163074]",Spider-Man 2,"[5, 326, 19551]",2004-06-25,783766341,127.0,Spider-Man 2,6.7,4321,583766341,6,558,"[2219, 205, 17051, 658, 18998, 2517, 18999, 19154, 19152, 5293, 20645, 11357, 7624, 11641, 74949, 75316, 115218, 25933, 9281, 18307, 20644, 75309, 20491, 52847, 4610, 31549, 17179, 11769, 19153, 2368, 5502, 15011, 9047, 19326, 59846, 19489, 3218, 62646, 31508, 1217576, 27688, 1051811, 52271, 54635, 11750, 11766, 109180, 54586, 1214542, 1252313, 1355926, 188728, 64373, 1735986, 13029, 60925, 1279729, 147592, 152939, 1090378, 90558, 1278367, 138028, 1498435, 1431984, 1254435, 92729, 1409953, 954650, 66579, 1378546, 1346430, 1500999, 956198, 1647723, 58619]"
31,200000000,"[28, 12, 878]",68721,"[949, 5597, 6335, 8613, 8828, 9715, 9717, 12555, 173776, 179430, 180547, 188721, 209714, 209748, 209822, 209823]",Iron Man 3,[420],2013-04-18,1215439994,130.0,Iron Man 3,6.8,8806,1015439994,4,68721,"[3223, 12052, 1896, 529, 15556, 15277, 2282, 18473, 121953, 6162, 6573, 46814, 17181, 15860, 77303, 17857, 1735538, 1480047, 1735539, 1212282, 1234512, 74086, 14670, 1336882, 1171861, 1171688, 992507, 1735541, 1735542, 574355, 1088938, 1230922, 1735543, 1265796, 1391612, 49275, 1463664, 1735545, 1383576, 430313, 56979, 146329, 1314963, 38709, 51464, 113008, 1735546, 1241324, 37252, 7624, 115974, 1735547, 1215021, 1735551, 54679, 1735554, 237347, 1735558, 1735559, 1309902, 1735560, 1735561, 1228523, 1323717, 1735562, 1530091, 193946, 1735564, 1735565, 1699796, 1735566, 154158, 974169, 1735568, 1392385, 1339959, 1154054, 57251, 113745, 1366, 1735569, 235778, 1535095, 216782, 89714, 1735572, 1332241, 1648160, 1544395, 1352976, 1544394, 149731, 1735573, 1221121, 1080216, 590821, 1700563, 1619994, 1735574, 1735575, 1454104, 180838, 1622657, 169265, 1429470, 103, 445918]"
32,200000000,"[10751, 14, 12]",12155,"[818, 855, 2011, 2486, 12552, 170362, 209714]",Alice in Wonderland,"[2, 598, 8601, 16314, 20004]",2010-03-03,1025491110,108.0,Alice in Wonderland,6.4,4645,825491110,3,12155,"[76070, 85, 1813, 1283, 1064, 20982, 30083, 26209, 11855, 11276, 29237, 47468, 3968, 4566, 113, 11275, 9191, 34900, 40942, 3796, 11356, 73357, 282628, 119413, 1652888, 1323226, 31737, 156136, 208507, 63280, 1350949, 1652908, 1652911, 487836, 1116282]"
33,210000000,"[12, 28, 878, 53]",36668,"[1852, 8828, 9717, 10761, 161271, 161893, 179430]",X-Men: The Last Stand,"[289, 306, 431, 444, 445, 9168, 12247, 19551, 79028, 79029, 79030]",2006-05-24,459359555,104.0,X-Men: The Last Stand,6.3,3525,249359555,5,36668,"[6968, 4587, 1327, 2387, 10696, 10690, 7090, 11023, 11022, 27578, 11008, 11006, 980, 11107, 84222, 37046, 52414, 2131, 58115, 1199720, 73590, 115857, 941988, 4776, 21041, 14792, 1103, 61555, 4741, 7624, 59243, 11616]"
34,200000000,"[16, 10751]",62211,"[1299, 5984, 6186, 10336, 12392, 13160, 163303, 179430]",Monsters University,"[2, 3]",2013-06-20,743559607,104.0,Monsters University,7.0,3528,543559607,6,62211,"[7904, 1230, 884, 15735, 1271300, 21198, 155649, 52601, 21290, 95101, 658, 51383, 51797, 119592, 452205, 11806, 5149, 17697, 19278, 482044, 10, 7907, 7908, 1340664]"
